name,vendor_code,hex_color,oklch_l,oklch_c,oklch_h,color_family
Lycee,3727,CB9AB2,0.739,0.066,347.912,Red-violet
Heather,316,BB7C9E,0.661,0.090,346.267,Red-violet
Iced Plum,3726,A05A7D,0.559,0.102,349.551,Red-violet
Archil,315,894368,0.483,0.106,348.840,Red-violet
Aubergine,3802,7C2759,0.418,0.130,347.885,Red-violet
Magenta Red,902,731C3C,0.379,0.123,2.869,Red
Thyme Flower,3836,C48DB3,0.709,0.084,338.367,Red-violet
Purple Violet,3835,A0658E,0.584,0.094,338.910,Red-violet
Red Grape,3834,673257,0.400,0.091,339.923,Red-violet
Prune,154,421032,0.272,0.088,342.923,Red-violet
Heather White,24,F6E0EB,0.928,0.028,345.915,Red-violet
Cornflower White,25,EEDDEE,0.916,0.029,325.812,Red-violet
Lavender White,26,E3D4ED,0.890,0.037,312.047,Red-violet
Light Parma Violet,211,E5C3E6,0.857,0.060,325.203,Red-violet
Parma Violet,210,E1ADDA,0.809,0.085,330.951,Red-violet
Lilac,209,C492C8,0.725,0.094,324.017,Red-violet
Pansy,208,9C5BA4,0.572,0.130,323.029,Red-violet
Purple,3837,7C4899,0.498,0.135,312.108,Violet
Dark Purple,327,65356E,0.414,0.107,321.117,Red-violet
Pink Lilac,153,EBC6E1,0.866,0.055,335.745,Red-violet
Pastel Purple,554,D2A2D2,0.772,0.085,326.366,Red-violet
Violet Amethyst,553,B077B6,0.650,0.111,323.419,Red-violet
Violet,552,824D8F,0.508,0.117,319.514,Violet
Passionflower,550,47155B,0.313,0.123,314.392,Violet
Rose Mist,3743,D7CBE2,0.859,0.034,308.920,Violet
Storm Clouds,3042,AA8DAA,0.679,0.054,326.147,Red-violet
Purple Slate,3041,7B566F,0.501,0.061,339.131,Red-violet
Gun Metal,3740,68455D,0.438,0.060,338.924,Red-violet
Ash White,27,E2D8E9,0.895,0.025,311.689,Violet
Lavender Gray,28,7C688D,0.550,0.061,308.994,Violet
Emperor Purple,29,563F69,0.411,0.074,308.604,Violet
Ice Blue,3747,D1D5FA,0.882,0.051,280.424,Blue-violet
Hydrangea Blue,341,A7B3F1,0.780,0.090,275.662,Blue-violet
Cornflower Blue,156,99A1EA,0.731,0.106,278.622,Blue-violet
Wisteria Blue,340,9392DD,0.691,0.109,283.767,Blue-violet
Mauve,155,7363BB,0.556,0.133,289.708,Violet
Iris,3746,6049A2,0.475,0.138,292.224,Violet
Violet Blue,333,5C3EA3,0.453,0.156,292.808,Violet
Kitten Gray,30,8B8CD0,0.666,0.100,282.681,Blue-violet
Dusty Violet,31,635BA9,0.516,0.120,286.046,Blue-violet
Antique Mauve,32,4C4A8C,0.444,0.106,282.551,Blue-violet
Heliotrope,157,AECBFF,0.839,0.080,261.972,Blue-violet
Baby Blue,794,86A5E4,0.723,0.099,263.935,Blue-violet
Deep Ocean,793,5E7EC9,0.603,0.120,265.467,Blue-violet
Tanzanite,3807,465DAF,0.502,0.133,269.385,Blue-violet
China Blue,792,3E4698,0.434,0.133,275.223,Blue-violet
Ultramarine Blue,158,30398D,0.389,0.138,273.494,Blue-violet
Lapis,791,212B82,0.343,0.145,271.244,Blue-violet
Linen Flower Blue,3840,B5D2FD,0.857,0.068,258.105,Blue-violet
Mediterranean Blue,3839,6B89DB,0.644,0.128,267.547,Blue-violet
Thistle Blue,3838,3A5CB7,0.499,0.149,265.805,Blue-violet
Sky Blue,800,B4D9FD,0.871,0.064,247.845,Blue
Soft Blue,809,87ACEE,0.743,0.104,261.613,Blue-violet
Horizon Blue,799,76A2E0,0.705,0.103,257.026,Blue-violet
Cobalt Blue,798,4D79C7,0.581,0.130,261.063,Blue-violet
French Blue,797,2A4DAC,0.452,0.158,265.251,Blue-violet
Sévres Blue,796,00308C,0.352,0.160,261.749,Blue-violet
Royal Blue,820,001675,0.279,0.160,263.944,Blue-violet
Blue Water,162,C9E7F2,0.910,0.035,221.904,Blue
