vendor_code,name,hex_color,oklch_l,oklch_c,oklch_h,color_family
K001-456,Shale,8b9e93,0.681,0.027,160.381,Cool neutral
K001-500,Titanium,8f99a0,0.677,0.016,238.224,Gray
K001-408,Iron,644d30,0.437,0.053,72.141,Warm neutral
K001-854,Overcast,9fa6a8,0.720,0.009,216.952,Gray
K001-1854,Shark,839098,0.645,0.019,234.762,Gray
K001-1223,Med. Grey,7f7d88,0.595,0.017,294.144,Gray
K001-91,Steel,656b71,0.525,0.012,248.117,Gray
K001-1837,Chalkboard,54626a,0.487,0.022,232.979,Gray
K001-106,Metal,5c6667,0.502,0.012,204.200,Gray
K001-1080,Coal,636161,0.494,0.003,16.356,Gray
K001-1071,Charcoal,3b3b3b,0.352,0.000,263.283,Gray
K001-295,Graphite,626765,0.509,0.007,170.597,Gray
K001-1844,Grizzly,636058,0.489,0.013,89.836,Cool neutral
K001-862,Gotham Grey,434d4a,0.410,0.014,175.797,Gray
K001-359,Pepper,2a3838,0.328,0.018,196.371,Gray
K001-1019,Black,272928,0.279,0.003,165.226,Gray
K001-2186,Coty,111111,0.178,0.000,263.283,Gray
